Tabel 1
;;;;;;;;;;;;
;Race;Jaar;Etappe;Soort etappe;Uitslag;Uitslag rit;Algemeen;Punten;Jong;Berg;Uitvallers;Niet gestart
;Tour de France;2018;8;Vlak;10;Pasqualon Andrea;Porte Richie;Kittel Marcel;;;;
;Tour de France;2018;8;Vlak;11;Oss Daniel;Landa Mikel;;;;;
;Tour de France;2018;8;Vlak;12;Dupont Timothy;Froome Chris;;;;;
;Tour de France;2018;8;Vlak;13;Colbrelli Sonny;Yates Adam;;;;;
;Tour de France;2018;8;Vlak;14;Phinney Taylor;Kragh Andersen Soren;;;;;
;Tour de France;2018;8;Vlak;15;Kittel Marcel;Nibali Vincenzo;;;;;
;Tour de France;2018;8;Vlak;16;Smith Dion;Roglic Primoz;;;;;
;Tour de France;2018;8;Vlak;17;Thomas Geraint;Mollema Bauke;;;;;
;Tour de France;2018;8;Vlak;18;Nibali Vincenzo;Alaphilippe Julian;;;;;
;Tour de France;2018;8;Vlak;19;Froome Chris;Dumoulin Tom;;;;;
;Tour de France;2018;8;Vlak;20;Richeze Maximiliano;Kruijswijk Steven;;;;;
;Tour de France;2018;9;Kasseien;1;Degenkolb John;Van Avermaet Greg;Sagan Peter;Kragh Andersen Soren;Skujins Toms;65;
;Tour de France;2018;9;Kasseien;2;Van Avermaet Greg;Thomas Geraint;Gaviria Fernando;Boudat Thomas;Chavanel Sylvain;62;
;Tour de France;2018;9;Kasseien;3;Lampaert Yves;Gilbert Philippe;Groenewegen Dylan;Latour Pierre;Smith Dion;118;
;Tour de France;2018;9;Kasseien;4;Gilbert Philippe;Jungels Bob;Kristoff Alexander;Cort Magnus;Calmejane Lilian;;
;Tour de France;2018;9;Kasseien;5;Sagan Peter;Valverde Alejandro;Demare Arnaud;Martin Guillaume;Martin Dan;;
;Tour de France;2018;9;Kasseien;6;Stuyven Jasper;Majka Rafal;Greipel Andre;;;;
;Tour de France;2018;9;Kasseien;7;Jungels Bob;Fuglsang Jakob;Degenkolb John;;;;
;Tour de France;2018;9;Kasseien;8;Greipel Andre;Froome Chris;Pasqualon Andrea;;;;
;Tour de France;2018;9;Kasseien;9;Boasson Hagen Edwald;Yates Adam;Colbrelli Sonny;;;;
;Tour de France;2018;9;Kasseien;10;Dupont Timothy;Landa Mikel;Gilbert Philippe;;;;
;Tour de France;2018;9;Kasseien;11;Kristoff Alexander;Kragh Andersen Soren;;;;;
;Tour de France;2018;9;Kasseien;12;Politt Nils;Nibali Vincenzo;;;;;
