Tabel 1
;;;;;;
;ID;Voornaam;Achternaam;Ploeg 2018;Ploeg 2019;Prijs TDF 2019
;160;Jasper;Stuyven;Trek-Segafredo;Trek-Segafredo;1000000
;161;Christophe;Laporte;Cofidis, Solutions Crédits;Cofidis, Solutions Crédits;1500000
;162;Dimitri;Claeys;Cofidis, Solutions Crédits;;
;163;Nicolas;Edet;Cofidis, Solutions Crédits;Cofidis, Solutions Crédits;500000
;164;Jesús;Herrada;Cofidis, Solutions Crédits;Cofidis, Solutions Crédits;500000
;165;Daniel;Navarro;Cofidis, Solutions Crédits;;
;166;Anthony;Perez;Cofidis, Solutions Crédits;Cofidis, Solutions Crédits;500000
;167;Julien;Simon;Cofidis, Solutions Crédits;Cofidis, Solutions Crédits;500000
;168;Anthony;Turgis;Cofidis, Solutions Crédits;Team Total Direct Energie;500000
;169;Guillaume;Martin;Wanty - Groupe Gobert;Wanty - Gobert Cycling Team;750000
;170;Thomas;Degand;Wanty - Groupe Gobert;;
;171;Timothy;Dupont;Wanty - Groupe Gobert;Wanty - Gobert Cycling Team;1000000
;172;Marco;Minnaard;Wanty - Groupe Gobert;Wanty - Gobert Cycling Team;500000
;173;Yoann;Offredo;Wanty - Groupe Gobert;Wanty - Gobert Cycling Team;500000
;174;Andrea;Pasqualon;Wanty - Groupe Gobert;Wanty - Gobert Cycling Team;750000
;175;Dion;Smith;Wanty - Groupe Gobert;;
;176;Guillaume;Van Keirsbulck;Wanty - Groupe Gobert;CCC Team;500000
;177;Michael;Woods;Team EF Education First-Drapac p/b Cannondale;EF Education First;1500000
;178;Taylor;Phinney;Team EF Education First-Drapac p/b Cannondale;EF Education First;500000
;179;Alberto;Bettiol;BMC Racing Team;EF Education First;750000
;180;Benoît;Cosnefroy;AG2R La Mondiale;AG2R La Mondiale;500000
;181;Alexis;Gougeard;AG2R La Mondiale;AG2R La Mondiale;500000
;182;Mickaël;Chérel;AG2R La Mondiale;AG2R La Mondiale;500000
;183;Alexandre;Geniez;AG2R La Mondiale;AG2R La Mondiale;750000
;184;Alexey;Lutsenko;Astana Pro Team;Astana Pro Team;750000
;185;Pello;Bilbao;Astana Pro Team;Astana Pro Team;1000000
;186;Rohan;Dennis;BMC Racing Team;Bahrein Merida;1000000
;187;Matej;Mohorič;Bahrein Merida Pro Cycling Team;Bahrein Merida;750000
;188;Dylan;Teuns;BMC Racing Team;Bahrein Merida;750000
;189;Oscar;Gatto;Astana Pro Team;BORA - hansgrohe;750000
;190;Emanuel ;Buchmann;BORA - hansgrohe;BORA - hansgrohe;2000000
;191;Maximilian;Schachmann;BORA - hansgrohe;BORA - hansgrohe;1500000
;192;Patrick;Konrad;BORA - hansgrohe;BORA - hansgrohe;1000000
;193;Alessandro;De Marchi;BMC Racing Team;CCC Team;750000
;194;Nacer;Bouhanni;Cofidis, Solutions Crédits;Cofidis, Solutions Crédits;1500000
;195;Hugo;Hofstetter;Cofidis, Solutions Crédits;Cofidis, Solutions Crédits;500000
;196;Pierre-Luc;Périchon;Team Fortuneo - Samsic;Cofidis, Solutions Crédits;500000
;197;Enric;Mas;Quick-Step Floors;Deceuninck - Quick Step;3500000
;198;Elia;Viviani;Quick-Step Floors;Deceuninck - Quick Step;4000000
;199;Zdenek;Štybar;Quick-Step Floors;Deceuninck - Quick Step;1000000
;200;Dries;Devenyns;Quick-Step Floors;Deceuninck - Quick Step;750000
;201;Michael;Mørkøv;Quick-Step Floors;Deceuninck - Quick Step;750000
;202;Fabio;Sabatini;Quick-Step Floors;Deceuninck - Quick Step;750000
;203;Thibaut;Pinot;Groupama - FDJ;Groupama - FDJ;3000000
;204;Sébastian;Reichenbach;Groupama - FDJ;Groupama - FDJ;750000
;205;Steve;Morabito;Groupama - FDJ;Groupama - FDJ;500000
;206;Anthony;Roux;Groupama - FDJ;Groupama - FDJ;500000
;207;Caleb;Ewan;Lotto Soudal;Lotto Soudal;3500000
;208;Tim;Wellens;Lotto Soudal;Lotto Soudal;750000
;209;Roger;Kluge;Mitchelton-Scott;Lotto Soudal;500000
;210;Matteo;Trentin;Mitchelton-Scott;Mitchelton-Scott;2500000
;211;Winner;Anacona;Movistar Team;Movistar Team;750000
;212;Nelson;Oliveira;Movistar Team;Movistar Team;750000
;213;Carlos;Verona;Mitchelton-Scott;Movistar Team;500000
;214;Roman;Kreuziger;Mitchelton-Scott;Team Dimension Data;750000
;215;Louis;Meintjes;Team Dimension Data;Team Dimension Data;750000
;216;Bernhard;Eisel;Team Dimension Data;Team Dimension Data;500000
;217;Ben;King;Team Dimension Data;Team Dimension Data;500000
;218;Kenny;Elissonde;Team Sky;Team INEOS;1000000
;219;Dylan;Van Baarle;Team Sky;Team INEOS;1000000
;220;George;Bennett;Team LottoNL-Jumbo;Team Jumbo-Visma;1500000
;221;Wout;Van Aert;Vérandas Willems-Crelan;Team Jumbo-Visma;1500000
;222;Laurens;De Plus;Quick-Step Floors;Team Jumbo-Visma;1000000
;223;Mike;Teunissen;Team Sunweb;Team Jumbo-Visma;750000
;224;Jens;Debusschere;Lotto Soudal;Team Katusha Alpecin;1000000
;225;José;Gonçalves;Team Katusha Alpecin;Team Katusha Alpecin;750000
;226;Marco;Haller;Team Katusha Alpecin;Team Katusha Alpecin;500000
;227;Wilco;Kelderman;Team Sunweb;Team Sunweb;2000000
;228;Nicolas;Roche;BMC Racing Team;Team Sunweb;750000
;229;Lennard;Kämna;Team Sunweb;Team Sunweb;500000
;230;Niccolò;Bonifazio;Bahrein Merida Pro Cycling Team;Team Total Direct Energie;1000000
;231;Yohann;Gène;Direct Energie;Team Total Direct Energie;500000
;232;Adrien;Petit;Direct Energie;Team Total Direct Energie;500000
;233;Giulio;Ciccone;Bardiani - CSF;Trek-Segafredo;1000000
;234;Rui;Costa;UAE-Team Emirates;UAE-Team Emirates;1000000
;235;Sergio;Henao;Team Sky;UAE-Team Emirates;750000
;236;Bart;De Clercq;Wanty - Groupe Gobert;Wanty - Gobert Cycling Team;500000
;237;Odd Christian;Eiking;Wanty - Groupe Gobert;Wanty - Gobert Cycling Team;500000
;238;Xandro;Meurisse;Wanty - Groupe Gobert;Wanty - Gobert Cycling Team;500000
;239;Loïc;Vliegen;BMC Racing Team;Wanty - Gobert Cycling Team;500000
;240;;;;;
;241;;;;;
;242;;;;;
;243;;;;;
;244;;;;;
;245;;;;;
;246;;;;;
;247;;;;;
;248;;;;;
;249;;;;;
;250;;;;;
;251;;;;;
;252;;;;;
;253;;;;;
;254;;;;;
;255;;;;;
;256;;;;;
;257;;;;;
;258;;;;;
;259;;;;;
;260;;;;;
;261;;;;;
;262;;;;;
;263;;;;;
;264;;;;;
;265;;;;;
;266;;;;;
;267;;;;;
;268;;;;;
;269;;;;;
;270;;;;;
;271;;;;;
;272;;;;;
;273;;;;;
;274;;;;;
;275;;;;;
;276;;;;;
;277;;;;;
;278;;;;;
;279;;;;;
;280;;;;;
;281;;;;;
;282;;;;;
;283;;;;;
;284;;;;;
;285;;;;;
;286;;;;;
;287;;;;;
;288;;;;;
;289;;;;;
;290;;;;;
;291;;;;;
;292;;;;;
;293;;;;;
;294;;;;;
;295;;;;;
;296;;;;;
;297;;;;;
;298;;;;;
;299;;;;;
;300;;;;;
;301;;;;;
;302;;;;;
;303;;;;;
;304;;;;;
;305;;;;;
;306;;;;;
;307;;;;;
;308;;;;;
;309;;;;;
;310;;;;;
;311;;;;;
